
DLCT Table for Midori S-Box 1:
     0  1  2  3  4  5  6  7  8  9  A  B  C  D  E  F
    -------------------------------------------------------
0 | 16  16  16  16  16  16  16  16  16  16  16  16  16  16  16  16
1 | 16  12   8   4   8   8   8   8  12   8   8   4   8   8   4   4
2 | 16   8  16   8   8   0   8   0   8   8   8   8   8   8   8   8
3 | 16   8   8   8   4   8  12   8   8  12   4   8   4   4   8   8
4 | 16   8   8   8  12   8   4   8  12   8   8   4   8   8   4   4
5 | 16   8   8   8   8   8   8   0   8   4   8  12   4   8  12   8
6 | 16   4   8  12   8   8   8   8   8   4   4   8  12   4   8   8
7 | 16   4   8   4   4   8   4  16   8   8   8   8   8   8   8   8
8 | 16   8   8   8   8   0   8   8   8   8   8   8   8   8   8   8
9 | 16   8   8   8  12   8   4   8   8   8   4   4   8  12   4   8
A | 16   4   8   4   4  16   4   8   4   8  12   8   8   4   8  12
B | 16   4   8  12   8   8   8   8   4  12   8   8   4   8   8   4
C | 16  12   8   4   8   8   8   8   8   8   4   4   8  12   4   8
D | 16   8   0   8   8   8   8   8   8   4   8  12   4   8  12   8
E | 16   8   8   8   4   8  12   8   4   4   8   8  12   8   8   4
F | 16   8   0   8   8   8   8   8   4   8  12   8   8   4   8  12

DLCT Table for Midori S-Box 2:
     0  1  2  3  4  5  6  7  8  9  A  B  C  D  E  F
    -------------------------------------------------------
0 | 16  16  16  16  16  16  16  16  16  16  16  16  16  16  16  16
1 | 16  12   8   8   8   8   8   4  12   8   4   4   8   8   8   4
2 | 16   8  12   8   8   4   8   8  12   4  12   8   8   4   4   4
3 | 16   8   8   4   8   8   4   8   8   8   4   8   8   8   8  12
4 | 16   8   8   4   8  12   4   4   8  12   8   8  12   4   8   4
5 | 16   8   4   8   4   8   8   8   8   8   8   4  12   8   4  12
6 | 16   4   8   8   8   4   8   8   8   4   8   8   8  12   8   8
7 | 16   4   4   8   4   8  12   8   8   8   8   8   8   8  12   4
8 | 16  12   8   8  12   8   4   4   4   4   8   4   8   8  12   8
9 | 16   8   4   4   8   4   8  12   4   8   8  12   8   8   8   8
A | 16   8   8  12  12   8   8   8   4   8   8   8   4   4   4   8
B | 16   8   4   8   8   8  12   8   4   8   8   8   4   8   8   8
C | 16   8  12   8   8   8   8  12   8   4   4   4   8   4   8   8
D | 16   8   8  12   4   4   8   4   8   8   8  12   8   8   4   8
E | 16   4   8   4   8   8   8   8   8  12   4   8   4  12   8   8
F | 16   4   8   8   4  12   4   8   8   8  12   8   4   8   8   8
